Name,DisplayName,Description,Branch,NodeKind,ScaleX,ScaleY,GrantStat,AmountPerLevel,MaxLevel,BaseCost,CostGrowth,RequiredBestStage
Core,시작,여기서부터 뻗어 나갑니다.,Core,Core,1.3,1.3,None,0,1,0,1.0,0
Resist_T1,밀림저항,,Survival,Small,1.0,1.0,KnockbackResist,0.03,5,40,1.5,0
Resist_T2,밀림저항,,Survival,Small,1.0,1.0,KnockbackResist,0.04,5,90,1.5,0
Pickup_T1,획득범위,,Survival,Small,1.0,1.0,PickupRadius,20,5,30,1.5,0
Pickup_T2,획득범위,,Survival,Small,1.0,1.0,PickupRadius,30,5,70,1.5,0
Hp_T1,체력,,Survival,Notable,1.25,1.25,MaxHealth,1,1,150,1.0,0
Hp_T2,체력,,Survival,Notable,1.25,1.25,MaxHealth,1,1,320,1.0,0
Hp_T3,체력,,Survival,Notable,1.25,1.25,MaxHealth,1,1,640,1.0,0
Force_T1,가속,,Mobility,Small,1.0,1.0,MoveForce,30,5,30,1.5,0
Force_T2,가속,,Mobility,Small,1.0,1.0,MoveForce,45,5,70,1.5,0
Speed_T1,속도,,Mobility,Small,1.0,1.0,MaxSpeed,50,5,35,1.5,0
Speed_T2,속도,,Mobility,Small,1.0,1.0,MaxSpeed,70,5,80,1.5,0
Force_N,가속강화,,Mobility,Notable,1.25,1.25,MoveForce,150,1,260,1.0,0
Speed_N,속도강화,,Mobility,Notable,1.25,1.25,MaxSpeed,250,1,280,1.0,0
HammerUnlock,헤머,공 주변을 도는 헤머를 답니다.,Weapon,Notable,1.35,1.35,HammerUnlock,1,1,300,1.0,0
HammerCount,헤머추가,헤머가 한 개 늘어납니다. 최대 4개.,Weapon,Notable,1.3,1.3,HammerCount,1,3,400,1.7,0
HammerKnock,헤머넉백,,Weapon,Small,1.0,1.0,HammerKnockback,0.15,5,60,1.5,0
HammerSpin,헤머회전,,Weapon,Small,1.0,1.0,HammerSpinSpeed,20,5,50,1.5,0
HammerDmg,헤머피해,,Weapon,Small,1.0,1.0,HammerDamage,1,5,70,1.5,0
SawUnlock,전기톱,공 앞에 전기톱을 답니다.,Weapon,Notable,1.35,1.35,SawUnlock,1,1,300,1.0,0
SawSize,톱크기,,Weapon,Small,1.0,1.0,SawSize,0.1,5,80,1.5,0
SawDmg,톱피해,,Weapon,Small,1.0,1.0,SawDamage,1,5,70,1.5,0
DozerUnlock,불도저,공 앞에 밀어내는 날을 답니다.,Weapon,Notable,1.35,1.35,BulldozerUnlock,1,1,350,1.0,0
DozerWidth,불도저폭,,Weapon,Small,1.0,1.0,BulldozerWidth,0.2,5,80,1.5,0
DozerPush,밀어내기,,Weapon,Small,1.0,1.0,BulldozerPush,0.15,5,60,1.5,0
DrillUnlock,드릴,공 앞에 드릴을 답니다.,Weapon,Notable,1.35,1.35,DrillUnlock,1,1,350,1.0,0
DrillDmg,드릴피해,,Weapon,Small,1.0,1.0,DrillDamage,1,5,70,1.5,0
DrillPierce,드릴관통,,Weapon,Small,1.0,1.0,DrillPierce,1,3,150,1.6,0
Gold_T1,골드,,Economy,Small,1.0,1.0,GoldGain,0.05,5,60,1.5,0
Gold_T2,골드,,Economy,Small,1.0,1.0,GoldGain,0.07,5,130,1.5,0
Gold_N,골드강화,,Economy,Notable,1.25,1.25,GoldGain,0.2,1,420,1.0,0
Rebirth_S,환생배수,,Economy,Small,1.0,1.0,RebirthMultiplier,0.1,5,220,1.8,0
Gate_10,관문,최고 10 스테이지에 닿아야 열립니다.,Core,Gate,1.15,1.15,None,0,1,200,1.0,10
Gate_20,관문,최고 20 스테이지에 닿아야 열립니다.,Core,Gate,1.15,1.15,None,0,1,400,1.0,20
Gate_35,관문,최고 35 스테이지에 닿아야 열립니다.,Core,Gate,1.15,1.15,None,0,1,700,1.0,35
Gate_50,관문,최고 50 스테이지에 닿아야 열립니다.,Core,Gate,1.15,1.15,None,0,1,1100,1.0,50
Key_Fortress,철벽,체력이 하나 더 늘어납니다.,Survival,Keystone,1.5,1.5,MaxHealth,1,1,2000,1.0,0
Key_Rebirth,환생,환생 보상이 50% 늘어납니다.,Economy,Keystone,1.5,1.5,RebirthMultiplier,0.5,1,1800,1.0,0
Key_Saw,거대톱,전기톱이 훨씬 커집니다.,Weapon,Keystone,1.5,1.5,SawSize,0.5,1,1600,1.0,0
Key_Drill,이중드릴,공 위쪽에 드릴을 하나 더 답니다.,Weapon,Keystone,1.5,1.5,DrillTopMount,1,1,1900,1.0,0
