Name,FromPlacementId,ToPlacementId,RouteType
E_001,1,2,HorizontalFirst
E_002,2,3,HorizontalFirst
E_003,4,5,HorizontalFirst
E_004,5,6,HorizontalFirst
E_005,6,7,HorizontalFirst
E_006,7,8,HorizontalFirst
E_007,8,9,HorizontalFirst
E_008,9,10,HorizontalFirst
E_009,10,11,HorizontalFirst
E_010,11,12,HorizontalFirst
E_011,12,13,HorizontalFirst
E_012,13,14,HorizontalFirst
E_013,14,15,HorizontalFirst
E_014,15,16,HorizontalFirst
E_015,16,17,HorizontalFirst
E_016,17,4,HorizontalFirst
E_017,3,4,HorizontalFirst
E_018,11,18,HorizontalFirst
E_019,18,19,HorizontalFirst
E_020,19,20,HorizontalFirst
E_021,1,21,HorizontalFirst
E_022,21,22,HorizontalFirst
E_023,23,24,HorizontalFirst
E_024,24,25,HorizontalFirst
E_025,25,26,HorizontalFirst
E_026,26,27,HorizontalFirst
E_027,27,28,HorizontalFirst
E_028,28,29,HorizontalFirst
E_029,29,30,HorizontalFirst
E_030,30,31,HorizontalFirst
E_031,31,32,HorizontalFirst
E_032,32,33,HorizontalFirst
E_033,33,34,HorizontalFirst
E_034,34,35,HorizontalFirst
E_035,35,36,HorizontalFirst
E_036,36,23,HorizontalFirst
E_037,22,23,HorizontalFirst
E_038,30,37,HorizontalFirst
E_039,37,38,HorizontalFirst
E_040,38,39,HorizontalFirst
E_041,1,40,HorizontalFirst
E_042,40,41,HorizontalFirst
E_043,41,42,HorizontalFirst
E_044,43,44,HorizontalFirst
E_045,44,45,HorizontalFirst
E_046,45,46,HorizontalFirst
E_047,46,47,HorizontalFirst
E_048,47,48,HorizontalFirst
E_049,48,49,HorizontalFirst
E_050,49,50,HorizontalFirst
E_051,50,51,HorizontalFirst
E_052,51,52,HorizontalFirst
E_053,52,53,HorizontalFirst
E_054,53,54,HorizontalFirst
E_055,54,55,HorizontalFirst
E_056,55,56,HorizontalFirst
E_057,56,43,HorizontalFirst
E_058,42,43,HorizontalFirst
E_059,50,57,HorizontalFirst
E_060,57,58,HorizontalFirst
E_061,58,59,HorizontalFirst
E_062,1,60,HorizontalFirst
E_063,60,61,HorizontalFirst
E_064,61,62,HorizontalFirst
E_065,63,64,HorizontalFirst
E_066,64,65,HorizontalFirst
E_067,65,66,HorizontalFirst
E_068,66,67,HorizontalFirst
E_069,67,68,HorizontalFirst
E_070,68,69,HorizontalFirst
E_071,69,70,HorizontalFirst
E_072,70,71,HorizontalFirst
E_073,71,72,HorizontalFirst
E_074,72,73,HorizontalFirst
E_075,73,74,HorizontalFirst
E_076,74,75,HorizontalFirst
E_077,75,76,HorizontalFirst
E_078,76,63,HorizontalFirst
E_079,62,63,HorizontalFirst
E_080,70,77,HorizontalFirst
E_081,77,78,HorizontalFirst
E_082,78,79,HorizontalFirst
E_083,16,45,VerticalFirst
E_084,55,25,HorizontalFirst
E_085,35,65,VerticalFirst
E_086,75,6,HorizontalFirst
E_087,73,80,HorizontalFirst
E_088,80,81,HorizontalFirst
