Name,PlacementId,DefinitionRowName,CellX,CellY
P_001,1,Core,0,0
P_002,2,Resist_T1,0,1
P_003,3,Pickup_T1,0,2
P_004,4,Resist_T2,0,3
P_005,5,Pickup_T2,1,3
P_006,6,Hp_T1,2,3
P_007,7,Resist_T2,2,4
P_008,8,Pickup_T2,2,5
P_009,9,Hp_T2,2,6
P_010,10,Resist_T2,1,6
P_011,11,Resist_T2,0,6
P_012,12,Pickup_T2,-1,6
P_013,13,Hp_T2,-2,6
P_014,14,Resist_T2,-2,5
P_015,15,Pickup_T2,-2,4
P_016,16,Hp_T3,-2,3
P_017,17,Resist_T2,-1,3
P_018,18,Pickup_T2,0,7
P_019,19,Gate_10,0,8
P_020,20,Key_Fortress,0,9
P_021,21,Force_T1,0,-1
P_022,22,Speed_T1,0,-2
P_023,23,Force_T2,0,-3
P_024,24,Speed_T2,-1,-3
P_025,25,Force_N,-2,-3
P_026,26,Force_T2,-2,-4
P_027,27,Speed_T2,-2,-5
P_028,28,Speed_N,-2,-6
P_029,29,Force_T2,-1,-6
P_030,30,Force_T2,0,-6
P_031,31,Speed_T2,1,-6
P_032,32,Force_N,2,-6
P_033,33,Force_T2,2,-5
P_034,34,Speed_T2,2,-4
P_035,35,Speed_N,2,-3
P_036,36,Force_T2,1,-3
P_037,37,Speed_T2,0,-7
P_038,38,Gate_20,0,-8
P_039,39,Key_Rebirth,0,-9
P_040,40,HammerKnock,-1,0
P_041,41,HammerSpin,-2,0
P_042,42,HammerDmg,-3,0
P_043,43,HammerKnock,-4,0
P_044,44,HammerDmg,-4,1
P_045,45,HammerUnlock,-4,2
P_046,46,SawDmg,-5,2
P_047,47,HammerSpin,-6,2
P_048,48,HammerCount,-7,2
P_049,49,SawSize,-7,1
P_050,50,HammerKnock,-7,0
P_051,51,HammerDmg,-7,-1
P_052,52,SawUnlock,-7,-2
P_053,53,SawDmg,-6,-2
P_054,54,HammerSpin,-5,-2
P_055,55,HammerCount,-4,-2
P_056,56,SawSize,-4,-1
P_057,57,SawSize,-8,0
P_058,58,Gate_35,-9,0
P_059,59,Key_Saw,-10,0
P_060,60,Gold_T1,1,0
P_061,61,DozerPush,2,0
P_062,62,DrillDmg,3,0
P_063,63,Gold_T2,4,0
P_064,64,DozerWidth,4,-1
P_065,65,DozerUnlock,4,-2
P_066,66,DrillDmg,5,-2
P_067,67,DozerPush,6,-2
P_068,68,Gold_N,7,-2
P_069,69,DrillPierce,7,-1
P_070,70,Gold_T2,7,0
P_071,71,DozerWidth,7,1
P_072,72,DrillUnlock,7,2
P_073,73,DrillDmg,6,2
P_074,74,DozerPush,5,2
P_075,75,Gold_N,4,2
P_076,76,DrillPierce,4,1
P_077,77,DrillPierce,8,0
P_078,78,Gate_50,9,0
P_079,79,Key_Drill,10,0
P_080,80,Rebirth_S,6,3
P_081,81,Rebirth_S,6,4
